Year,Region,Smokerate,Cancerrate
2011,northeast,0.192851239,0.000752632
2012,northeast,0.179968684,0.000746224
2013,northeast,0.173478609,0.000754062
2014,northeast,0.164896215,0.000743913
2015,northeast,0.154265212,0.000753283
2011,midwest,0.218722108,0.00076991
2012,midwest,0.210021534,0.000767833
2013,midwest,0.201639672,0.000772608
2014,midwest,0.188241503,0.000777939
2015,midwest,0.185023896,0.00077664
2011,south,0.2303062,0.000730576
2012,south,0.220515921,0.000744464
2013,south,0.203979048,0.000737754
2014,south,0.20118613,0.000734392
2015,south,0.194221079,0.000720717
2011,west,0.179925212,0.000497532
2012,west,0.165135529,0.000497363
2013,west,0.163988035,0.000492405
2014,west,0.156806947,0.000489977
2015,west,0.147739103,0.000478451